id,uuid,observed_on,time_observed_at,time_zone,user_id,user_name,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
196252559,0d4844c8-781b-40d1-8ce2-b24630c219c4,2024-01-09,2024-01-09 23:06:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",A few seen,3,0,"Santa Cruz County, CA, USA",37.0786620612,-122.268067389,2,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196252560,80730fe0-7713-4fb9-8c17-b4bc740c57a7,2024-01-09,2024-01-09 23:07:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,2,0,"Santa Cruz County, CA, USA",37.0787134185,-122.268055319,2,Triopha maculata,Spotted Dorid,Mollusca,47110,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha maculata,,,,
196252561,f6e39176-d8fa-46eb-9d4b-8fdf6bd83cd6,2024-01-09,2024-01-09 23:11:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,3,0,"Santa Cruz County, CA, USA",37.078545,-122.2680966667,,Cadlina luteomarginata,Yellow-edged Cadlina,Mollusca,50146,Doridina,Chromodoridoidea,Cadlinidae,,,,,Cadlina,,Cadlina luteomarginata,,,,
196252563,a8b98150-3ec6-4639-b860-629cb9535d87,2024-01-09,2024-01-09 23:19:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,2,0,"Santa Cruz County, CA, USA",37.078615,-122.2680616667,,Triopha catalinae,Clown Dorid,Mollusca,47454,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha catalinae,,,,
196252567,09667f6d-ddf5-49f8-83ff-21a49da3d817,2024-01-09,2024-01-09 23:40:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,2,0,"Santa Cruz County, CA, USA",37.0788616667,-122.2677733333,,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196252570,8215f6aa-3394-467c-85bf-1d27ee271293,2024-01-09,2024-01-09 23:43:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,2,0,"Santa Cruz County, CA, USA",37.0788383333,-122.2677483333,,Geitodoris heathi,Heath's Dorid,Mollusca,47505,Doridina,Doridoidea,Discodorididae,,,,,Geitodoris,,Geitodoris heathi,,,,
196252707,98e35bfd-efab-4ab6-b614-6b66d38f4015,2024-01-09,2024-01-09 23:37:21 UTC,Pacific Time (US & Canada),3074338,Evan Peairs,"",,3,0,"Santa Cruz, CA 95062, USA",36.9646666667,-122.0011472222,,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196253409,5433696b-3291-4b15-8664-e523f60fed2d,2024-01-09,2024-01-09 23:34:36 UTC,Pacific Time (US & Canada),7027634,,"","",2,0,"Soquel Cove, CA, US",36.9602666667,-121.9636166667,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196253513,cb2e0136-6efd-4939-a375-e8fb7652b888,2024-01-09,2024-01-10 00:21:15 UTC,Pacific Time (US & Canada),7027634,,"","",3,0,"Soquel Cove, Santa Cruz, CA, US",36.9663319436,-121.9579611009,433,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196253572,ed8152d7-e60e-487b-be01-6f93c08d4fdf,2024-01-09,2024-01-10 00:26:12 UTC,Pacific Time (US & Canada),7027634,,"","",3,0,"Soquel Cove, CA, US",36.961008103,-121.9593508465,683,Acanthodoris lutea,Sandalwood Dorid,Mollusca,47472,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris lutea,,,,
196284697,402cd348-08b9-4b77-b2ad-5f2896ed5aab,2024-01-10,2024-01-10 16:36:21 UTC,Pacific Time (US & Canada),5165261,,"","",3,0,"North Pacific Ocean, Pacific Grove, CA, US",36.6350990874,-121.9393732316,715,Ceratodoris rosacea,Hopkins' Rose Nudibranch,Mollusca,1520980,Doridina,Onchidoridoidea,Goniodorididae,Goniodoridinae,,,,Ceratodoris,,Ceratodoris rosacea,,,,
196284730,d65c4a20-1f43-421d-b9ea-40653d079083,2024-01-10,2024-01-10 16:35:19 UTC,Pacific Time (US & Canada),5165261,,"","",2,0,"North Pacific Ocean, Pacific Grove, CA, US",36.6340664767,-121.9395722078,357,Cadlina luteomarginata,Yellow-edged Cadlina,Mollusca,50146,Doridina,Chromodoridoidea,Cadlinidae,,,,,Cadlina,,Cadlina luteomarginata,,,,
196284758,c34b11ea-b017-4633-a153-3326d304dd43,2024-01-10,2024-01-10 16:35:08 UTC,Pacific Time (US & Canada),5165261,,"","",2,0,"North Pacific Ocean, Pacific Grove, CA, US",36.6342733135,-121.9396360709,357,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196284930,3257401d-e8cf-4a26-86cc-c4174355f96f,2024-01-09,2024-01-10 01:22:30 UTC,Pacific Time (US & Canada),5165261,,"","",3,0,"North Pacific Ocean, Pacific Grove, CA, US",36.63398,-121.9399633333,4,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196311919,302d95bf-89f2-4fef-9e29-d6abafdcc7fc,2024-01-10,2024-01-10 23:06:33 UTC,Pacific Time (US & Canada),4087126,,"","",3,0,"Soquel Cove, CA, US",36.9570166667,-121.97003,9,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196313289,8cf2690f-dfb7-4047-8f10-7ff02a156021,2024-01-10,2024-01-11 00:02:05 UTC,Pacific Time (US & Canada),7709032,,"","",4,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6057476189,-121.9599247751,10,Ceratodoris rosacea,Hopkins' Rose Nudibranch,Mollusca,1520980,Doridina,Onchidoridoidea,Goniodorididae,Goniodoridinae,,,,Ceratodoris,,Ceratodoris rosacea,,,,
196313344,8e012726-226b-46c4-95cd-86bb2ff4627e,2024-01-10,2024-01-11 00:02:57 UTC,Pacific Time (US & Canada),5678199,Alex Peyton,"","",5,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.605625,-121.95993,5,Ceratodoris rosacea,Hopkins' Rose Nudibranch,Mollusca,1520980,Doridina,Onchidoridoidea,Goniodorididae,Goniodoridinae,,,,Ceratodoris,,Ceratodoris rosacea,,,,
196314368,515828ef-f2fd-46d4-9e36-5995202c6074,2024-01-10,2024-01-11 00:23:56 UTC,Pacific Time (US & Canada),7709032,,"","",2,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6057720824,-121.9600193116,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196315452,3c04b2e5-3452-4e6c-8e7f-7cbfac187896,2024-01-10,2024-01-11 00:46:44 UTC,Pacific Time (US & Canada),7709032,,"","",3,0,"17 Mile Dr, Del Monte Forest, CA, US",36.6057383333,-121.9597466667,8,Triopha maculata,Spotted Dorid,Mollusca,47110,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha maculata,,,,
196315465,5952f65a-7296-4b5d-892c-12f9042a5e41,2024-01-10,2024-01-11 00:49:19 UTC,Pacific Time (US & Canada),7709032,,"","",2,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6056500295,-121.9597355213,59,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196316137,0988494a-32b4-4416-b33b-b8548c1b1844,2024-01-10,2024-01-11 00:25:08 UTC,Pacific Time (US & Canada),5678199,Alex Peyton,"","",3,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6057466667,-121.9600216667,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196316459,75f8629e-e247-46e9-952b-925aa26d9067,2024-01-10,2024-01-11 00:46:38 UTC,Pacific Time (US & Canada),5678199,Alex Peyton,"","",3,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6057166667,-121.9598466667,3,Triopha maculata,Spotted Dorid,Mollusca,47110,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha maculata,,,,
196316890,1dd25d13-fb40-41e4-a7f5-e8cac8d6abac,2024-01-10,2024-01-11 00:48:43 UTC,Pacific Time (US & Canada),5678199,Alex Peyton,"","",3,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.6056666667,-121.9598383333,9,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196321348,8b6fb531-df04-4329-b0c4-025e00613ba8,2024-01-10,2024-01-11 00:27:00 UTC,Pacific Time (US & Canada),1561735,Joshua Moore,"","",3,0,"Soquel Cove, CA, US",36.9575815262,-121.9666198768,2273,Acanthodoris lutea,Sandalwood Dorid,Mollusca,47472,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris lutea,,,,
196328646,6e66b993-590d-4bb7-abb8-912c50779aee,2024-01-10,2024-01-11 01:58:37 UTC,Pacific Time (US & Canada),5335362,bos__mutus,"",,3,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9565794444,-121.9704916667,,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196330620,a5376d84-ebc6-43a1-b2f2-558d93ae1ad0,2024-01-10,2024-01-11 05:31:32 UTC,Pacific Time (US & Canada),7716117,,"","",2,0,"North Pacific Ocean, Del Monte Forest, CA, US",36.5919407399,-121.9649898663,32,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196361414,9c266933-4caf-42ff-b751-781435463532,2024-01-10,2024-01-11 02:00:19 UTC,Pacific Time (US & Canada),5335362,bos__mutus,"",,2,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9565536111,-121.9704772222,,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196391136,72fb7816-5afd-4b59-8750-a50b8f7760cb,2024-01-11,2024-01-12 01:05:18 UTC,Pacific Time (US & Canada),2424822,Haley G.,"",,3,0,"Pacific Grove, CA 93950, USA",36.6309340621,-121.937812753,306,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196391627,0cf96454-8cec-4bc7-9252-81b4bebed40a,2024-01-11,2024-01-12 01:14:51 UTC,Pacific Time (US & Canada),2424822,Haley G.,"",,2,0,"J3M6+9M, Pacific Grove, CA 93950, USA",36.6331616667,-121.9394716667,8,Doriopsilla albopunctata,White-spotted Sea Goddess,Mollusca,474590,Doridina,Phyllidioidea,Dendrodorididae,,,,,Doriopsilla,,Doriopsilla albopunctata,,,,
196392196,d8753c3a-1875-4566-9d88-c0f67747e7ed,2024-01-11,2024-01-12 00:38:48 UTC,Pacific Time (US & Canada),41640,Ruth Ann Pearsons,"","",4,0,"North Pacific Ocean, Santa Cruz, CA, US",36.9491116667,-122.061225,4,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196393225,7781c54e-761b-491e-80d6-e38d45690ffe,2024-01-11,2024-01-12 01:20:23 UTC,Pacific Time (US & Canada),7675101,Gabby White,"","",3,0,"Soquel Cove, CA, US",36.955105,-121.971,4,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196393335,829c2c68-357c-4888-ac2b-a5bab167ab66,2024-01-11,2024-01-12 00:37:21 UTC,Pacific Time (US & Canada),7675101,Gabby White,"","",3,0,"Monterey Bay, CA, US",36.954175,-121.9727166667,4,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196393403,c320fc0c-38ce-42c4-bac3-ba646d0fbf2f,2024-01-11,2024-01-12 01:48:10 UTC,Pacific Time (US & Canada),7675101,Gabby White,"","",3,0,"Soquel Cove, CA, US",36.9555531657,-121.9715748319,25,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196394008,3cc66349-84b8-4870-929b-176c12cb0e4e,2024-01-11,2024-01-12 01:17:43 UTC,Pacific Time (US & Canada),1088223,Ariel R.,"","",2,0,"Pleasure Point Beach, Santa Cruz, CA, US",36.9567633333,-121.9708716667,50,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196394767,33e2bda7-5b37-42ed-8ed7-45ced63cc2ae,2024-01-11,2024-01-12 02:11:39 UTC,Pacific Time (US & Canada),2424822,Haley G.,"",,2,0,"Asilomar / Andril Motel, Pacific Grove, CA 93950, USA",36.6333933333,-121.9391116667,12,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196395592,f30e4908-d3af-4193-9dc5-983361673cea,2024-01-11,2024-01-12 01:17:10 UTC,Pacific Time (US & Canada),5447339,Hallie Brown,"",Lighting was too low to get a very detailed photo,2,0,"Soquel Cove, CA, US",36.95492,-121.9713616667,52,Doto columbiana,British Columbia Doto,Mollusca,47774,Cladobranchia,Dendronotoidea,Dotidae,,,,,Doto,,Doto columbiana,,,,
196395645,2f20259e-cb5a-4d53-b13d-5cbfcea33032,2024-01-11,2024-01-12 01:15:19 UTC,Pacific Time (US & Canada),5447339,Hallie Brown,"","",3,0,"Soquel Cove, CA, US",36.9546383333,-121.9717716667,5,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196395658,b9bb2952-9172-49de-9146-3845d6c3ecec,2024-01-11,2024-01-12 01:13:44 UTC,Pacific Time (US & Canada),5447339,Hallie Brown,"","",3,0,"Soquel Cove, CA, US",36.954705,-121.9717783333,16,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196395680,26f293b8-deb4-4c7d-93f8-59e7ad3ef8e8,2024-01-11,2024-01-12 01:13:27 UTC,Pacific Time (US & Canada),5447339,Hallie Brown,"","",2,0,"Pleasure Point Dr, Santa Cruz, CA, US",36.9554133333,-121.972405,40,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196395780,7f3ed1e5-0e77-4b9e-96c2-ca695bf06892,2024-01-11,2024-01-12 00:53:31 UTC,Pacific Time (US & Canada),5447339,Hallie Brown,"","",2,0,"Monterey Bay, CA, US",36.9545616667,-121.97245,5,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196397085,c94a3c90-09ef-4699-8d11-ced5dfe139b8,2024-01-11,2024-01-12 01:55:41 UTC,Pacific Time (US & Canada),6460455,"","",,2,0,"J3M6+9M, Pacific Grove, CA 93950, USA",36.6336342765,-121.9385081157,185,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196398428,d312a08b-1073-47f6-97a6-c5a726f32ef5,2024-01-11,2024-01-12 02:12:20 UTC,Pacific Time (US & Canada),7064505,Morgan Lewis,"",,2,0,"J3M6+9M, Pacific Grove, CA 93950, USA",36.6334244187,-121.9382603467,197,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196398646,ac52378c-8839-4f4f-83fb-15a32d045296,2024-01-11,2024-01-12 01:01:12 UTC,Pacific Time (US & Canada),2615419,,"","",2,0,"North Pacific Ocean, CA, US",37.493855,-122.4988116667,128,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196398692,17691484-8c3b-4137-8c6e-a82745a6ec78,2024-01-11,2024-01-12 01:01:36 UTC,Pacific Time (US & Canada),2615419,,"","",2,0,"North Pacific Ocean, CA, US",37.4935083333,-122.4992666667,4,Triopha maculata,Spotted Dorid,Mollusca,47110,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha maculata,,,,
196398719,adb0c5a6-d451-48b3-91bd-60b978545534,2024-01-11,2024-01-12 00:56:20 UTC,Pacific Time (US & Canada),2615419,,"","",2,0,"North Pacific Ocean, CA, US",37.4937783333,-122.4991216667,22,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196399114,bd402f3d-f4a3-4621-a8fa-113f6f278ce5,2024-01-11,2024-01-12 01:07:33 UTC,Pacific Time (US & Canada),1533099,Tyler Feld,"",,2,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9603527778,-121.9649916667,,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196399344,f46fd1f8-08da-4a81-860a-dade2eb8d053,2024-01-11,2024-01-11 23:49:00 UTC,Pacific Time (US & Canada),1102357,Naomi Goodman,"","",2,0,"San Mateo County, CA, USA",37.2468922881,-122.4191820222,8,Acanthodoris rhodoceras,Black and White Dorid,Mollusca,47482,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris rhodoceras,,,,
